NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
28;Anotasi Putusan Perkara Tindak Pidana Pencucian Uang 2013;--;Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK);Jakarta;2013;;;;;;2C;;;;;;;ada;;;;;;;;
29;Anotasi Putusan Perkara TPPU 2014;--;Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK);Jakarta;2014;;;;;;2C;;;;;;;ada;;;;;;;;
30;Antinomi Norma Hukum Pembatalan Pemberian Hak Atas Tanah Oleh Peradilan Tata Usaha Negara Dan Badan Pertabahan Nasional;Dr. H. Eddy Pranjoto W.S., S.H., M.P.A., M.Si.;CV.  Utomo;Bandung;2006;979-3451-19-X;;;1.-;vi, 199;3E;;23,5;331.1;PRA;S;;ada;;;;;;;;
31;Antropologi Hukum Indonesia;Prof. H. Hilman Hadikusuma, S.H.;PT. Alumni ;Bandung;1986;;;;;;5B;;;340.02;HAD;B;;ada;;;;;;;;
32;Antropologi Hukum Indonesia;Prof. H. Hilman Hadikusuma, S.H.;PT. Alumni ;Bandung;2010;;;;;;5B;;;340.02;HAD;B;;ada;;;;;;;;
33;Anwar Sadat : Kemarau Kemarahan;Mohamed Heikal;Grafiti Pers;Jakarta;1986;;;;2.-;;7C;;;920;HEI;;;ada;;;;;;;;
34;"Apa Dan Siapa Baharuddin Lopa // Sketsa Perjalanan Seorang ""BARLOP"" Pendekar Hukum Dan Keadilan Indonesia";Hendro Dewanto, dkk.;Jampidsus - Kejagung R.I.;Jakarta;2012;;;;;;7C;2;;;;;;ada;;;;;;;;
35;Aplikasi Asas Equalitas Hak Dan Kedudukan Suami Istri Dalam Penjaminan Harta Bersama Pada Putusan Mahkamah Agung;Drs. Abdul Manaf, M.H.;CV. Mandar Maju;Bandung;2006;;;;;;7C;;;;;;;ada;;;;;;;;
36;Arbitrase;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2003;979-8767-80-2;;2.,;2.-;380;1F;;22,5;347.09;HAR;;;ada;y;;;;;;;
37;Arbitrase Dagang Internasional;Prof. Mr. Dr. Sudargo Gautama;PT. Alumni ;Bandung;1979;;;;;;6E;;;;;;;ada;;;;;;;;
38;Arbitrase Dan Mediasi Di Indonesia;Gatot Soemartono;PT. Gramedia Pustaka Utama;Jakarta;;978-979-2221-11-4;;;;xii, 230;3A;;23;347;SOE;B;155.000;ada;;;;;;;;
39;Arbitrase Komersial Internasional;Huala Adolf, S.H.;Rajawali Pers;Jakarta;1993;979-421-271-7;;2.,;2.-;222;1F;;21;341.322;ADO;;;ada;y;;;;;;;
40;Arbitrase Online (Alternatif Penyelesaian Sengketa Perdagangan Secara Elektronik);Paustinus Siburian, S.H., M.H.;Djambatan;Jakarta;2004;979-428-563-3;;;;233;1F;;21;341.522;SIB;;;ada;y;;;;;;;
41;Asal Mula Konflik Aceh // Dari Perebutan Pantai Timur Sumatera Hingga Akhir Kerajaan Aceh Abad KE-19;Anthony Reid;Yayasan Obor Indonesia;Jakarta;2005;;;;;;10B;;;;;;;ada;;;;;;;;
42;Asas-asas Hukum Muammalat (Hukum Perdata Islam);K.H. Ahmad Azhar Basyir, M.A.;UII Press;Yogyakarta;2004;979-8413-45-8;;;2.-;134;1E;;18,5;97.42;BAS;;;ada;y;;;;;;;
43;Asas-asas Hukum Pidana;Prof. Dr. Bambang Poernomo, S.H.;Ghalia Indonesia;Jakarta;1992;;;;6.-;205;2E;;20,5;345;POE;B;;ada;y;;;;;;;
44;Asas-asas Hukum Pidana;Dr. Andi Hamzah, S.H.;Rineka Cipta;Jakarta;1994;979-518-070-3;;;2.-;ix, 209;2E;;20;345;HAM;B;;ada;y;;;;;;;
;Asas-asas Hukum Pidana / Buku Panduan Mahasiswa;Prof. I Made Widnyana, S.H.;Fikahati Aneska;Jakarta;2010;;;;;;5B;;;345.001;WID;S;;ada;;;;;;;;
45;Asas-asas Hukum Pidana;Prof. Moeljatno, S.H.;Rineka Cipta;Jakarta;2002;;;;;;2C;;;;;;;ada;;;;;;;;
46;Asas-asas Hukum Pidana;Prof. Moeljatno, S.H.;Rineka Cipta;Jakarta;2008;;;revisi.,;8.-;;2C;;;;;;;ada;;;;;;;;
47;Asas Hukum Acara Perdata Dalam Teori Dan Praktik;Drs. Faizal Kamil, S.H., M.H.;Badan Penerbit Iblam;Jakarta;2005;979-99956-6-3;;;1.-;170;3C;;21;347.05;KAM;S;;ada;;;;;;;;
48;Asas Teori Praktik Hukum Pidana;Dr. Leden Marpaung, S.H.;Sinar Grafika;Jakarta;2005;979-3421-90-8;;;1.-;122;2D;;21;345.001;MAR;;;ada;y;;;;;;;
49;Aspek Hukum Dalam Bisnis;Richard Burton Simatupang, S.H.;Rineka Cipta;Jakarta;2003;;;;;;3F;;;;;;;ada;;;;;;;;
50;Aspek Hukum Dari Perdagangan Bebas // Menelaah Kesiapan Hukum Indonesia Dalam Melaksanakan Perdagangan Bebas;"editor : Ida Susanti, S.H., LL.M., CN. ; Bayu Seto, S.H., LL.M.";PT. Citra Aditya Bakti;Bandung;2003;;;;;;6A;2;;346.7;;;;ada;;;;;;;;
51;Aspek Hukum Pengadaan Barang Dan Jasa Dan Berbagai Permasalahannya;Adrian Sutedi, S.H. M.H.;Sinar Grafika;Jakarta;2010;;;1.,;1.-;;7E;;;;;;;ada;;;;;;;;
52;Aspek Hukum Pengadaan Barang Dan Jasa Dan Berbagai Permasalahannya;Adrian Sutedi, S.H. M.H.;Sinar Grafika;Jakarta;2012;;;2.,;1.-;;7E;2;;;;;;ada;;;;;;;;
53;Aspek Hukum Pengawasan Melekat Dalam Lingkungan Aparatur Pemerintah;"Victor M. Situmorang, S.H. ; Jusuf Juhir, S.H.";Rineka Cipta;Jakarta;1998;;;;;;6C;;;658;SIT;;;ada;;;;;;;;
54;Aspek-aspek Hukum Perbankan Islam Di Indonesia;Rachmadi Usman, S.H.;PT. Citra Aditya Bakti;Bandung;2002;979-414-872-5;;;1.-;270;1E;;21;332.297.63;USM;B;;ada;y;;;;;;;
55;Aspek Hukum Perlindungan Anak;Irma Setyowati Soemitro, S.H.;PT. Bumi Aksara;Jakarta;2001;979-526-027-8;;1.,;2.-;;6E;;;;;;;ada;;;;;;;;
56;Aspek-aspek Hukum Perorangan & Kekeluargaan Di Indonesia;Rachmadi Usman, S.H.;Sinar Grafika;Jakarta;2006;;;;;;7C;;;;;;;ada;;;;;;;;
57;Aspek-aspek Hukum Rahasia Dagang;"Iman Sjahputra Tunggal, S.H., CN., LL.M. ; Heri Herjandono, S.H.";Harvarindo;Jakarta;2005;;;rev.,;;viii, 56;3F;;21;346.7;TUN;B;;ada;;;;;;;;
58;Aspek-aspek Pengubah Hukum;Prof. Dr. H. Abdul Manan, S.H., S.IP., M.Hum.;Kencana;Jakarta;2009;;;;;;5B;2;;340;MAN;S;;ada;;;;;;;;
59;Aspek-aspek Pidana Di Bidang Komputer;Dr. Andi Hamzah, S.H. - Boedi D. Marsita, S.H.;Sinar Grafika;Jakarta;1987;979-8061-04-0;;;1.-;132;1D;;21;345;HAM;S;;ada;y;;;;;;;
60;Aspek Hukum Nama Domain Di Internet;Sabartua Tampubolon, S.H., M.H.;PT. Tata Nusa;Jakarta;2003;979-8409-63-9;;;1.-;154;1D;;21;4.678.026;TAM;B;157.000;ada;y;;;;;;;
61;Aspek Hukum Pasar Modal Indonesia;"M. Irsan Nasarudin, S.H. ; Indra Surya, S.H., LL.M.";Kencana;Jakarta;2004;979-3465-52-2;;;2.-;xviii, 392;3F;2;23;346.092 2;SUR;;;ada;;;;;;;;
62;Aspek Hukum Pengupahan // Berdasarkan UU No.13 TAHUN 2003;Abdul Khakim, S.H.;PT. Citra Aditya Bakti;Bandung;2006;;;;;;3C;;;331.2;;;;ada;;;;;;;;
63;Aspek Hukum Pidana Dan Kriminologi (Sebuah Bunga Rampai);Prof. Dr. Hj. Mien Rukmini, S.H., M.S.;PT. Alumni;Bandung;2009;979-41-4007-4;;1.,;2.-;160;2A;;20,5;364;RUK;S;;ada;y;;;;;;;
64;Aspek Legal Properti//Teori, Contoh Dan Aplikasi;Richard Eddy;CV. Andi Offset;Yogyakarta;2010;978-979-29-1354-5;;;;viii, 152;3E;;23;346.04;EDD;;;ada;;;;;;;;
65;Asuransi Kebakaran Di Indonesia;H. Gunarto, S.H.;Tira Pustaka;Jakarta;1984;;;;;;5H;;;348;GUN;;;ada;;;;;;;;
66;Atlas Tumbuhan Obat Indonesia;dr. Setiawan Dalimartha;Trubus Agriwidya;Jakarta;1999;;1;;;;10D;;;641.1;DAL;;;ada;;;;;;;;
67;Atlas Tumbuhan Obat Indonesia;dr. SETIAWAN DALIMARTHA;Trubus Agriwidya;Jakarta;2000;;2;;;;10D;;;;;;;ada;;;;;;;;
68;Atlas Tumbuhan Obat Indonesia;dr. SETIAWAN DALIMARTHA;TRUBUS AGRIWIDYA;Jakarta;2003;;3;;;;10D;;;;;;;ada;;;;;;;;
69;Aturan Bea Meterai;Prof. Dr. H. Rochmat Soemitro, S.H.;PT. Eresco;Bandung;1992;;;;;;5B;;;343.57;SOE;B;;ada;;;;;;;;
70;Aturan Bea Meterai;Soedono Poerwodihardjo, S.H.;PT. Eresco;Bandung;1965;;;;;;5B;;;343;POE;;;ada;;;;;;;;
;Authorized Biography Of Eliezer Sahat Maruli Hutagalung;"Bambang Riyadi Lany, S.H. ; Dr. D. Rochman, S.H. ; M.Hum.";Yuma Pustaka;Surakarta;2018;;;;;;7C;;;920;RIY;S;;ada;;;;;;;;
71;A. Yani // Sebuah Kenang-kenangan;IBU A. YANI;;Jakarta;1981;;;;;;10B;;;;;;;ada;;;;;;;;
72;Ayat-ayat Cinta (Sebuah Novel Pembangunan Jiwa);Habiburrahman El Shirazy;Penerbit Republika;Jakarta;2008;;;;;;10C;;;820;SHI;;;ada;;;;;;;;
*;HURUF B;;;;;;;;;;;;;;;;;ada;;;;;;;;
73;BAB-BAB POKOK HUKUM ADMINISTRASI;Prof. Dr. H. SADJIJONO, S.H., M.Hum.;LAKSBANG PRESSINDO;Yogyakarta;2011;979-26-8507-3;;2.,;2.-;xvi, 185;3G;;23;353.01;SAD;S;;ada;;;;;;;;
74;BADAI PASTI BERLALU;MARGA T;PT. Gramedia Pustaka Utama;Jakarta;2007;;;;;;10C;2;;;;;;ada;;;;;;;;
75;BADAN HUKUM DAN KEDUDUKAN BADAN HUKUM PERSEROAN, PERKUMPULAN, KOPERASI, YAYASAN, WAKAF;R. ALI RIDO, S.H.;PT. ALUMNI;Bandung;2004;;;;;;6E;;;;;;;ada;;;;;;;;
76;Bahasa Indonesia Hukum;"Dr. Bahder Johan Nasution, S.H., S.M., M.Hum. ; Sri Warjiyati, S.H., M.H.";PT. Citra Aditya Bakti;Bandung;2001;979-414-780-0;;;2.-;130;1C;;21;400.340;NAS;B;;ada;y;;;;;;;
77;Bahaya Komunisme;"Prof. Dr. A.Z. Abidin, S.H. ; Dr. Baharuddin Lopa, S.H.";NV. BULAN BINTANG;Jakarta;1982;;;;;;10B;;;;;;;ada;;;;;;;;
78;Basic Conversation;"Drs. Djalinus Syah ; Dra. H.N. Murdiati Sulastomo, dkk.";RINEKA CIPTA;Jakarta;2001;979-518-625-6;;;2.-;237;1D;;20,5;425;SYA;B;;ada;y;;;;;;;
79;Bayar Utang Anda Sekarang;Jean Chatzky;PT. Gramedia Pustaka Utama;Jakarta;2006;979-222-112-3;;;;;10B;;;332.024;CHA;B;;ada;;;;;;;;
80;Bayi Tabung // Tinjauan Aspek Hukum;Salim HS, S.H., M.S.;Sinar Grafika;Jakarta;1993;979-8061-63-2;;;1.-;viii, 150;2E;;20,5;346.1;SAL;;;ada;y;;;;;;;
81;Beberapa Aspek Kebijakan Penegakan Dan Pengembangan Hukum Pidana;Prof. Dr. Barda Nawawi Arief, S.H.;PT. Citra Aditya Bakti;Bandung;1998;979-414-783-4;;;1.-;x, 178;2E;;21;345;ARI;;;ada;y;;;;;;;
82;"Beberapa Catatan Tentang Kitab Hukum Pelayaran Dan Perniagaan ""AMANNA GAPPA""";Prof. Andi Zainal Abidin, S.H. & Drs. A.S. Alam;Binacipta;Bandung;;;;;;;7F;;;;;;;ada;;;;;;;;
83;Beberapa Masalah Pelaksanaan Hukum Kewarisan Perdata Barat (BURGERLIJK WETBOEK);Mohd. Idris Ramulyo, S.H., M.H.;Sinar Grafika;Jakarta;1993;979-8061-84-5;;;1.-;xiv, 151;3D;;20,5;346.5;RAM;;;ada;;;;;;;;
84;Beberapa Pemikiran Hukum Memasuki Abad XXI // Mengenang Almarhum Prof. Dr. Komar Kantaatmadja, S.H., LL.M.;"Adi Sasono; Ahmad Ramli, S.H., M.H. , et. al.";Penerbit Angkasa;Bandung;1998;;;;;;10B;;;;;;;ada;;;;;;;;
85;Beberapa Persoalan Agama Dewasa Ini;Prof. Dr. H.A. Mukti Ali;Rajawali Pers;Jakarta;1987;979-421-091-9;;1.,;1.-;376;1E;;23;363;ALI;;;ada;y;;;;;;;
86;Beberapa Segi Perkembangan Sejarah Pers Di Indonesia;--;Penerbit Buku Kompas;Jakarta;2002;;;;;;10B;;;;;;;ada;;;;;;;;
87;Bencana Gempa Dan Tsunami Nanggroe Aceh Darussalam & Sumatera Utara;--;Penerbit Buku Kompas;Jakarta;2005;;;;;;10B;;;;;;;ada;;;;;;;;
88;Benih Bawang Merah // Seri Penangkaran;Setijo Pitojo;Penerbit Kanisius;Yogyakarta;2003;;;;;;10E;;;;;;;ada;;;;;;;;
89;Bentuk-bentuk Khusus Perwujudan Delik (Percobaan, Penyertaan Dan Gabungan Delik) Dan Hukum Penitensier;"A.Z. Abidin Farid; A. Hamzah";PT. Rajagrafindo Persada;Jakarta;2008;979-769-063-6;;rev.,;2.-;xii, 338;3F;;21;340.1;FAR;;;ada;;;;;;;;
90;Benturan Barat - Islam;Abul Hasan Ali Nadawi, Muhammad Asad, Maryam Jamilah, Fazlurrahman Anshari, Althaf Gauhar;Penerbit Mizan;Bandung;1985;;;;;;7A;;;;;;;ada;;;;;;;;
91;Berbagai Aspek Tindak Pidana Kekerasan Dalam Rumah Tangga (Lengkap Dengan Uraian Unsur-unsur Tindak Pidananya);Guse Prayudi, S.H.;Merkid Press;Yogyakarta;2012;;;;;;7C;;;;;;;ada;;;;;;;;
92;Berbagai Masalah Hukum Udara Dan Angkasa;Mieke Komar Kantaatmadja, S.H., M.C.L., C.N.;CV. Remadja Karya;Bandung;1984;;;;;;7F;;;;;;;ada;;;;;;;;
93;Bertanam Cabai Hibrida Secara Intensif;"Ir. S. Tarigan, M.M., M.B.A. ; Wahyu Wiryanta";PT. Agromedia Pustaka;Jakarta;2003;;;;;;10A;;;;;;;ada;;;;;;;;
94;Bertanam Cabai Rawit Dalam Pot;"Ir. Purwono, MS. ; Tim Lentera";PT. Agromedia Pustaka;Jakarta;2003;;;;;;10E;;;631.521;PUR;;;ada;;;;;;;;
95;Bertanam Seledri;Ir. Rahmat Rukmana;Penerbit Kanisius;Yogyakarta;2004;;;;;;10E;;;631.521;RUK;;;ada;;;;;;;;
;Bibliografi Dokumentasi Hukum Koleksi Subbagian Dokumentasi Hukum Pada Bagian Perpustakaan Dan Dokumentasi Hukum Tahun 2017 - 2018;Biro Hukum dan Hubungan Luar Negeri;Kejaksaan Agung R.I.;Jakarta;2019;;;;;;6B;;;16.598;AGU;s;;ada;;;;;;;;
;Bibliografi Hukum Non Hukum, Dan Referensi | Koleksi Subbagian Perpustakaan Pada Bagian Perpustakaan Dan Dokumentasi Hukum Tahun 2017 - 2018;Biro Hukum dan Hubungan Luar Negeri;Kejaksaan Agung R.I.;Jakarta;2019;;;;;;;;;16.598;AGU;s;;ada;;;;;;;;
96;BISNIS KOTOR (ANATOMI KEJAHATAN KERAH PUTIH);Munir Fuady, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2004;979-414-896-2;;;1.-;viii, 504;2B;;21;345;FUA;S;;ada;y;;;;;;;
97;BUDIDAYA BAWANG // BAWANG PUTIH, BAWANG MERAH, BAWANG BOMBAY;Singgih Wibowo;PENEBAR SWADAYA;Jakarta;1992;;;;;;10E;;;635.026;WIB;;;ada;;;;;;;;
98;BUDI DAYA & PELUANG BISNIS JAHE;Harmono, STP & Drs. Agus Andoko;PT. AGROMEDIA PUSTAKA;Jakarta;2005;;;;;;10D;;;631.521;HAR;;;ada;;;;;;;;
99;BUDI DAYA GURAMI;Tim Redaksi Agromedia Pustaka;PT. AGROMEDIA PUSTAKA;Jakarta;2001;;;;;;10E;;;639.31;AGR;;;ada;;;;;;;;
100;BUDI DAYA IKAN DI PEKARANGAN;Heru Susanto;PENEBAR SWADAYA;Jakarta;2007;;;rev.,;25,-;;10A;;;;;;;ada;;;;;;;;
101;BUDI DAYA IKAN DI SAWAH TAMBAK;Ahmad Mudjiman;CV. SIMPLEX;Jakarta;1986;;;;;;10E;;;639.31;MUD;;;ada;;;;;;;;
102;BUDI DAYA KEBUN DAN TAMAN;Robert B Cridland;DAHARA PRIZE;Semarang;1986;;;;;;10E;2;;635.026;CRI;;;ada;;;;;;;;
103;BUDI DAYA UDANG GALAH;Ahmad Mudjiman;PENEBAR SWADAYA;Jakarta;1992;;;;;;10E;;;639.31;MUD;;;ada;;;;;;;;
104;BUKU KEJAKSAAN DALAM ANGKA TAHUN 1996 / 1997;--;PUSAT INSTAKRIM - KEJAGUNG R.I.;Jakarta;1997;;;;;;4H;;;;;;;ada;;;;;;;;
105;BUKU MATERI DASAR HUKUM ACARA PERDATA;H. Riduan Syahrani, S.H.;PT. Citra Aditya Bakti;Bandung;2009;978-979-414-822-8;;rev.,;5,-;xvi, 416;3B;;21;347.001;SYA;S;;ada;;;;;;;;
106;Buku Panduan Pelaksanaan Program Percepatan (Quick Wins) Reformasi Birokrasi Kejaksaan R.I.;--;Kejaksaan R.I.;Jakarta;2010;;;;;;6F;;;;;;;ada;;;;;;;;
107;BUKU PANDUAN PERATURAN PERUNDANG-UNDANGAN R.I. (PERATURAN PEMERINTAH) (1945 ~ 1997);--;PUSAT INSTAKRIM - KEJAGUNG R.I.;Jakarta;1997;;;;;;4H;;;;;;;ada;;;;;;;;
108;BUKU PANDUAN PERATURAN PERUNDANG-UNDANGAN R.I. (UNDANG-UNDANG) (1945 ~ 1997);--;PUSAT INSTAKRIM - KEJAGUNG R.I.;Jakarta;1997;;;;;;4H;;;;;;;ada;;;;;;;;
109;BUKU PEDOMAN DA'WAH;M. Syafa'at Habib;PENERBIT WIDJAJA;Jakarta;1982;;;;;;7A;;;;;;;ada;;;;;;;;
110;BUKU PEDOMAN UNTUK BENDAHARAWAN, PEGAWAI ADMINISTRASI DAN PENGAWAS KEUANGAN // TATA USAHA KEUANGAN;M. Hadi , Soenhadji , C.R.E.E. Lopies , dkk.;DEPARTEMEN KEUANGAN R.I.;Jakarta;1978;;1;;;;7D;;;;;;;ada;;;;;;;;
111;BUKU PEDOMAN UNTUK BENDAHARAWAN, PEGAWAI ADMINISTRASI DAN PENGAWAS KEUANGAN // BUKU KAS UMUM DAN BANK;M. Hadi , Soenhadji , C.R.E.E. Lopies , dkk.;DEPARTEMEN KEUANGAN R.I.;Jakarta;1978;;2;;;;7D;;;;;;;ada;;;;;;;;
112;BUKU PEDOMAN UNTUK BENDAHARAWAN, PEGAWAI ADMINISTRASI DAN PENGAWAS KEUANGAN // HIMPUNAN PERATURAN-PERATURAN KEUANGAN;M. Hadi , Soenhadji , C.R.E.E. Lopies , dkk.;DEPARTEMEN KEUANGAN R.I.;Jakarta;1978;;3;;;;7D;;;;;;;ada;;;;;;;;
113;BUNGA RAMPAI HUKUM ACARA PIDANA // PERSPEKTIF, TEORITIS DAN PRAKTIK;Dr. Lilik Mulyadi, S.H., M.H.;PT. Alumni;Bandung;2012;;;;;;6B;;;345.002;;;;ada;;;;;;;;
114;BUNGA RAMPAI HUKUM DAGANG;Prof. Dr. H. Man S. Sastrawidjaja, S.H., S.U.;PT. Alumni;Bandung;2005;979-414-1001-4;;;1.-;x, 216;3F;;20,5;346.7;SAS;B;110.000;ada;;;;;;;;
115;BUNGA RAMPAI HUKUM LAUT;Prof. Dr. Mochtar Kusumaatmadja, S.H., LL.M.;BINACIPTA;Jakarta;1978;;;;;;7F;2;;;;;;ada;;;;;;;;
116;Bunga Rampai Hukum Pidana;"Prof. Dr. Muladi, S.H. ; Dr. Barda Nawawi Arief, S.H.";PT. Alumni;Bandung;1992;;;;;;5B;2;;340.02.345;MUL;;;ada;;;;;;;;
117;Bunga Rampai Hukum Pidana;"Prof. Dr. Muladi, S.H. ; Dr. Barda Nawawi Arief, S.H.";PT. Alumni;Bandung;2010;;;;;;5B;;;345.001;MUL;B;;ada;;;;;;;;
